date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:37	135/135	---MCZ	200	added ('OK')	text/plain	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/robots.txt		(from )
21:40:38	558173/558173	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/index.html	(from )
21:40:39	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/favicon.ico	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/favicon.ico	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:40	94807/94807	---M-Z	200	added ('OK')	application/atom+xml	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/feeds/posts/default	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/feeds/posts/default	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:41	80271/80271	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/feeds/posts/default?alt=rss	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/feeds/posts/default9522	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:41	69818/69818	---M--	200	added ('OK')	image/jpeg	etag:%22v3e7a%22	https://1.bp.blogspot.com/-OvEDCp-fV6o/X1h0isebtyI/AAAAAAAAPnk/pWVy1fgdpEUajdhka2Np-hU_-WTKA79fgCLcBGAsYHQ/s16000/g.jpg	C:/xampp/htdocs/CNPM/temp/1.bp.blogspot.com/-OvEDCp-fV6o/X1h0isebtyI/AAAAAAAAPnk/pWVy1fgdpEUajdhka2Np-hU_-WTKA79fgCLcBGAsYHQ/s16000/g.jpg	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:43	530410/530410	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Oct%202021%2014:40:06%20GMT	https://template-nula-cosmcleticok.blogspot.com/owl.video.play.png	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/owl.video.play.4.delayed	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:44	3657/3657	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Jun%202021%2007:18:00%20GMT	http://bizweb.dktcdn.net/100/368/647/themes/739567/assets/bg_title.png?1573004524935	C:/xampp/htdocs/CNPM/temp/bizweb.dktcdn.net/100/368/647/themes/739567/assets/bg_title8192.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:44	115/115	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Jun%202021%2023:21:15%20GMT	http://bizweb.dktcdn.net/100/368/647/themes/739567/assets/ico-select.png?1573004524935	C:/xampp/htdocs/CNPM/temp/bizweb.dktcdn.net/100/368/647/themes/739567/assets/ico-select8192.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:44	2218/2218	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Aug%202021%2010:51:36%20GMT	http://bizweb.dktcdn.net/100/368/647/themes/739567/assets/bg_popcart.png?1573004524935	C:/xampp/htdocs/CNPM/temp/bizweb.dktcdn.net/100/368/647/themes/739567/assets/bg_popcart8192.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:45	7963/7963	---M--	200	added ('OK')	image/png	etag:%22v4b62%22	http://2.bp.blogspot.com/-AaykUlWGAfw/YJkg2rv8QlI/AAAAAAAAS2E/1MciRu0uk5A34GV5_kW6VtWEcLa6hprmQCK4BGAYYCw/s1600/logo.png	C:/xampp/htdocs/CNPM/temp/2.bp.blogspot.com/-AaykUlWGAfw/YJkg2rv8QlI/AAAAAAAAS2E/1MciRu0uk5A34GV5_kW6VtWEcLa6hprmQCK4BGAYYCw/s1600/logo.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:45	7963/7963	---M--	200	added ('OK')	image/png	etag:%22v4b5f%22	http://1.bp.blogspot.com/-i8TF1s6I6EQ/YJkNrxRaLgI/AAAAAAAAS14/XXVSPOoYpCgiw7qswA-Z2Imoohj02fi9wCK4BGAYYCw/s1600/logo.png	C:/xampp/htdocs/CNPM/temp/1.bp.blogspot.com/-i8TF1s6I6EQ/YJkNrxRaLgI/AAAAAAAAS14/XXVSPOoYpCgiw7qswA-Z2Imoohj02fi9wCK4BGAYYCw/s1600/logo.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:47	536535/536535	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/p/cart.html	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/p/cart.html	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:48	540109/540109	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/p/gioi-thieu.html	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/p/gioi-thieu.html	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:49	543895/543895	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/search/label/san-pham	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/search/label/san-pham.html	(from https://template-nula-cosmcleticok.blogspot.com/)
21:40:49	538833/538833	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/search/label/nuoc-hoa	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/search/label/nuoc-hoa.html	(from https://template-nula-cosmcleticok.blogspot.com/)
